subj,subjLabel,place,placeLabel,coord,birthyear
http://www.wikidata.org/entity/Q302218,Agnolo Firenzuola,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1493
http://www.wikidata.org/entity/Q82778,Pliny the Elder,http://www.wikidata.org/entity/Q1308,Como,Point(9.086138888 45.81025),23
http://www.wikidata.org/entity/Q83038,Salvatore Quasimodo,http://www.wikidata.org/entity/Q34102,Modica,Point(14.761388888 36.867222222),1901
http://www.wikidata.org/entity/Q83174,Eugenio Montale,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.933983333 44.407186111),1896
http://www.wikidata.org/entity/Q83321,Giacomo Casanova,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1725
http://www.wikidata.org/entity/Q83375,Empedocles,http://www.wikidata.org/entity/Q13678,Agrigento,Point(13.576547222 37.311075),-489
http://www.wikidata.org/entity/Q219484,Theocritus,http://www.wikidata.org/entity/Q13670,Syracuse,Point(15.2875 37.069166666),
http://www.wikidata.org/entity/Q559151,Nossis,http://www.wikidata.org/entity/Q3836325,Epizephyrian Locri,Point(16.23677 38.20779),
http://www.wikidata.org/entity/Q172248,Marcus Junius Brutus,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),-84
http://www.wikidata.org/entity/Q172308,Andrea Navagero,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1483
http://www.wikidata.org/entity/Q172346,Luigi Bartolini,http://www.wikidata.org/entity/Q123981,Cupramontana,Point(13.117369444 43.445980555),1892
http://www.wikidata.org/entity/Q172599,Giacomo Leopardi,http://www.wikidata.org/entity/Q30029298,Recanati,Point(13.55379 43.40381),1798
http://www.wikidata.org/entity/Q176545,Pompeo Colonna,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1479
http://www.wikidata.org/entity/Q176833,Benedetto Varchi,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1503
http://www.wikidata.org/entity/Q177854,Lorenzo de' Medici,http://www.wikidata.org/entity/Q368346,Villa Medici at Careggi,Point(11.250282 43.807917),1449
http://www.wikidata.org/entity/Q179516,Paolo Conte,http://www.wikidata.org/entity/Q6122,Asti,Point(8.206944444 44.9),1937
http://www.wikidata.org/entity/Q180081,Cato the Elder,http://www.wikidata.org/entity/Q754314,Tusculum,Point(12.710833333 41.798333333),-233
http://www.wikidata.org/entity/Q182046,Leon Battista Alberti,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.933983333 44.407186111),1404
http://www.wikidata.org/entity/Q187166,Antonin Artaud,http://www.wikidata.org/entity/Q104285,Occitania,Point(2.87806 44.3),1896
http://www.wikidata.org/entity/Q191039,Germanicus,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),-14
http://www.wikidata.org/entity/Q191850,Tommaso Campanella,http://www.wikidata.org/entity/Q54680,Stilo,Point(16.466666666 38.483333333),1568
http://www.wikidata.org/entity/Q192374,Marsilio Ficino,http://www.wikidata.org/entity/Q82676,Figline Valdarno,Point(11.466666666 43.616666666),1433
http://www.wikidata.org/entity/Q193018,Gianni Rodari,http://www.wikidata.org/entity/Q23662,Omegna,Point(8.406944444 45.878055555),1920
http://www.wikidata.org/entity/Q193058,Livius Andronicus,http://www.wikidata.org/entity/Q13498,Taranto,Point(17.240833333 40.418055555),-279
http://www.wikidata.org/entity/Q193236,Gabriele D'Annunzio,http://www.wikidata.org/entity/Q3867751,Birthplace of Gabriele D'Annunzio Museum,Point(14.211818 42.46099),1863
http://www.wikidata.org/entity/Q193800,Juvenal,http://www.wikidata.org/entity/Q116415,Aquino,Point(13.7 41.5),55
http://www.wikidata.org/entity/Q379941,Jean-Antoine de Baïf,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1532
http://www.wikidata.org/entity/Q379991,Valerius Maximus,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),-100
http://www.wikidata.org/entity/Q380652,Giles of Viterbo,http://www.wikidata.org/entity/Q13395,Viterbo,Point(12.104166666 42.418611111),1469
http://www.wikidata.org/entity/Q384002,Pietro Pagello,http://www.wikidata.org/entity/Q29352,Castelfranco Veneto,Point(11.933333333 45.666666666),1807
http://www.wikidata.org/entity/Q87869,Humbert Fink,http://www.wikidata.org/entity/Q81814,Vietri sul Mare,Point(14.727777777 40.672222222),1933
http://www.wikidata.org/entity/Q492029,Tiziano Ferro,http://www.wikidata.org/entity/Q13410,Latina,Point(12.9037 41.467597222),1980
http://www.wikidata.org/entity/Q495300,Andrea Zanzotto,http://www.wikidata.org/entity/Q46539,Pieve di Soligo,Point(12.166666666 45.883333333),1921
http://www.wikidata.org/entity/Q501118,Vittorio Bodini,http://www.wikidata.org/entity/Q3519,Bari,Point(16.866666666 41.125277777),1914
http://www.wikidata.org/entity/Q395714,Agostino Scilla,http://www.wikidata.org/entity/Q13666,Messina,Point(15.55 38.183333333),1629
http://www.wikidata.org/entity/Q395714,Agostino Scilla,http://www.wikidata.org/entity/Q13666,Messina,Point(15.55 38.183333333),1639
http://www.wikidata.org/entity/Q405044,Massimo Bacigalupo,http://www.wikidata.org/entity/Q210098,Rapallo,Point(9.233333333 44.35),1947
http://www.wikidata.org/entity/Q425969,Bernardo Bellincioni,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1452
http://www.wikidata.org/entity/Q426217,Laura Battiferri,http://www.wikidata.org/entity/Q2759,Urbino,Point(12.6372 43.725238888),1523
http://www.wikidata.org/entity/Q426305,Giovanni Maria Cecchi,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1518
http://www.wikidata.org/entity/Q429516,Vittorio Genovesi,http://www.wikidata.org/entity/Q55086,Roccabascerana,Point(14.716666666 41.016666666),1887
http://www.wikidata.org/entity/Q311187,Francesco Redi,http://www.wikidata.org/entity/Q13378,Arezzo,Point(11.878055555 43.463055555),1626
http://www.wikidata.org/entity/Q311287,Lucius Accius,http://www.wikidata.org/entity/Q13134,Pesaro,Point(12.9133 43.91015),-169
http://www.wikidata.org/entity/Q312784,Benedetto Marcello,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1686
http://www.wikidata.org/entity/Q312784,Benedetto Marcello,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1686
http://www.wikidata.org/entity/Q313782,Claudius Aelianus,http://www.wikidata.org/entity/Q243133,Palestrina,Point(12.9 41.833333333),200
http://www.wikidata.org/entity/Q314677,Pacuvius,http://www.wikidata.org/entity/Q13496,Brindisi,Point(17.945833333 40.638333333),-219
