Indirizzo,Comune,Numero,Note,Civico,Cap,Frazione/Località,Insegna,Categorie
Via G. Marconi,Ledro,162,, 11/A,38067, Tiarno di Sopra,BAR RISTORANTE ALBERGO CASAVECCHIA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via XXIV Ottobre,Ledro,163,,9,38067, Bezzecca,BAR RISTORANTE ALBERGO MAGGIORINA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Piazza Milin,Ledro,164,,1,38067, Tiarno di Sopra,BAR RISTORANTE ALBERGO VITTORIA,"['BAR', 'RISTORANTE', 'ALBERGO']"
Via G. Marconi,Ledro,165,,93,38067, Tiarno di Sopra,BAR POSTA,['BAR']
Piazza Garibaldi,Ledro,166,,7,38067,Bezzecca,CAFFÈ BAR CENTRALE,['BAR']
Via Alzer,Ledro,167,,7,38067, Pieve di Ledro,BAR RISTORANTE PIZZERIA CAMPEGGIO AL LAGO,"['BAR', 'RISTORANTE', 'PIZZERIA']"
Via Maffei,Ledro,168,,3,38067,Molina di Ledro,CASARI FERRAMENTA,['FERRAMENTA']
Via Maffei,Ledro,169,,77,38067,Molina di Ledro,OFFICINA MECCANICA DISTRIBUTORE MAZZOLA,[]
Via Nuova,Ledro,170,,8,38067, Pieve di Ledro,OFFICINA MECCANICA DISTRIBUTORE PELLEGRINI,[]
Via III Giugno,Ledro,171,,3,38067, Lenzumo,BAR RISTORANTE ECO AMBIENTI HOTEL ELDA,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Vittoria,Ledro,172,,11,38067, Pieve di Ledro,FARMACIA FOLETTO,['FARMACIA']
Via Unità d’Italia,Ledro,173,,25,38067, Lenzumo,BAR RISTORANTE HOTEL CADRIA,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Pribram,Ledro,174,,1,38067, Pieve di Ledro,BAR RISTORANTE HOTEL LIDO,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Lungolago,Ledro,175,, 4/6,38067, Mezzolago,BAR RISTORANTE HOTEL MEZZOLAGO,"['BAR', 'RISTORANTE', 'HOTEL']"
Via Vittoria,Ledro,176,,22,38067, Pieve di Ledro,LA BOTTEGA DELL’ARTIGIANO,[]
Via XXI Luglio,Ledro,177,,8,38067,Bezzecca,MACELLERIA CIS MASSIMO,['MACELLERIA']
Piazza Obbedisco,Ledro,178,,13,38067,Bezzecca,MACELLERIA ZECCHINI,['MACELLERIA']
Via Vittoria,Ledro,179,,28,38067, Pieve di Ledro,OSTERIA LA TORRE,[]
Via C. Battisti,Ledro,180,,5,38067,Bezzecca,PANIFICIO F.LLI TOMASONI S.A.S.,['PANIFICIO']
Località al Faggio,Ledro,181,rifugio escursionistico,,38067, Concei,RIFUGIO AL FAGGIO,[]
Via Vittorio Emanuele,Ledro,182,,65,38067, Tiarno di Sopra,RIBAGA SELF SERVICE,[]
Piaz De Sotegrava,Moena,183,,17,38035,,BAR RISTORANTE FALORIA,"['BAR', 'RISTORANTE']"
Cort Del Batesta,Moena,184,,10,38035,,CASABELLA IDEE REGALO,[]
Piaz De Ramon,Moena,185,,1,38035,,ARTICOLI DA REGALO LIBRERIA CROCE MARIA CRISTINA,[]
